MutantNo,[FAIL | TIME | EXC | LIVE]
4,EXC
5,FAIL
9,LIVE
15,LIVE
16,FAIL
49,LIVE
50,FAIL
51,LIVE
59,LIVE
60,FAIL
61,FAIL
62,FAIL
63,LIVE
66,FAIL
162,LIVE
163,FAIL
165,LIVE
166,FAIL
167,FAIL
168,LIVE
169,LIVE
170,FAIL
171,FAIL
172,LIVE
173,LIVE
175,FAIL
180,FAIL
181,FAIL
182,FAIL
183,FAIL
212,LIVE
213,LIVE
214,LIVE
215,LIVE
216,LIVE
217,LIVE
218,LIVE
219,LIVE
220,LIVE
221,FAIL
223,LIVE
235,EXC
236,LIVE
237,LIVE
238,LIVE
245,LIVE
246,LIVE
247,LIVE
248,LIVE
249,LIVE
293,LIVE
294,EXC
295,LIVE
325,EXC
326,FAIL
328,LIVE
329,FAIL
330,FAIL
331,LIVE
332,LIVE
333,LIVE
335,FAIL
336,FAIL
341,LIVE
344,LIVE
347,LIVE
348,LIVE
349,FAIL
350,FAIL
357,FAIL
358,LIVE
360,FAIL
361,EXC
362,FAIL
363,FAIL
364,LIVE
365,EXC
366,FAIL
367,LIVE
368,LIVE
370,LIVE
371,LIVE
372,LIVE
373,FAIL
374,LIVE
375,LIVE
376,FAIL
379,EXC
380,LIVE
381,FAIL
382,LIVE
385,FAIL
386,LIVE
387,LIVE
388,LIVE
389,LIVE
390,FAIL
391,LIVE
392,LIVE
393,FAIL
397,EXC
398,LIVE
399,FAIL
400,LIVE
401,EXC
402,LIVE
403,EXC
404,FAIL
405,EXC
406,FAIL
407,FAIL
408,LIVE
409,LIVE
410,LIVE
411,LIVE
412,FAIL
413,LIVE
416,FAIL
419,FAIL
422,FAIL
424,LIVE
429,LIVE
430,FAIL
432,LIVE
439,LIVE
440,LIVE
452,LIVE
1254,EXC
1255,EXC
4628,LIVE
4629,LIVE
4630,LIVE
4631,LIVE
4632,LIVE
5154,FAIL
5155,LIVE
5156,LIVE
5157,LIVE
5158,EXC
5159,EXC
5160,LIVE
5161,EXC
5165,EXC
5166,LIVE
5167,LIVE
5168,EXC
5169,EXC
5178,LIVE
5179,LIVE
5182,LIVE
5183,LIVE
5184,LIVE
5185,LIVE
5186,LIVE
5187,LIVE
5188,LIVE
5255,EXC
5256,EXC
5267,FAIL
5268,LIVE
5269,LIVE
5270,FAIL
5286,LIVE
5287,LIVE
5288,FAIL
5290,FAIL
5291,LIVE
5292,FAIL
5293,FAIL
5294,LIVE
5295,FAIL
6036,LIVE
6037,LIVE
6038,LIVE
6040,LIVE
6042,LIVE
6043,LIVE
6046,LIVE
6048,LIVE
6056,LIVE
6057,LIVE
6058,LIVE
6059,LIVE
6060,LIVE
6061,EXC
6063,LIVE
6064,LIVE
