CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
54405,1,293,106,259,259,106,86,15,5,2860,259
56155,2,36,42,78,81,148,116,27,5,2818,337
57119,3,37,24,45,49,172,132,35,5,2794,382
105471,4,304,49,169,197,221,163,51,7,2745,551
105748,5,47,0,8,13,221,163,51,7,2745,559
105822,6,9,3,5,5,224,166,51,7,2742,564
108678,7,76,25,79,111,249,185,57,7,2717,643
112239,8,115,1,77,147,250,185,57,8,2716,720
116869,9,126,21,119,187,271,202,61,8,2695,839
120207,10,71,2,89,160,273,202,63,8,2693,928
127089,11,121,22,149,247,295,224,63,8,2671,1077
127544,12,34,9,21,30,304,228,68,8,2662,1098
128106,13,67,34,38,38,338,252,78,8,2628,1136
128558,14,7,13,34,60,351,262,81,8,2615,1170
137669,15,137,117,207,217,468,265,191,12,2498,1377
138230,16,19,29,40,46,497,286,199,12,2469,1417
145463,17,318,16,47,69,513,294,207,12,2453,1464
145463,18,1,0,0,0,513,294,207,12,2453,1464
145498,19,5,1,2,2,514,294,208,12,2452,1466
146352,20,4,7,35,35,521,299,209,13,2445,1501
147154,21,4,35,62,62,556,321,222,13,2410,1563
147180,22,5,1,2,2,557,322,222,13,2409,1565
150570,23,13,40,114,159,597,357,227,13,2369,1679
164547,24,39,111,255,280,708,449,246,13,2258,1934
168022,25,110,22,61,76,730,469,248,13,2236,1995
248800,26,701,8,81,100,738,471,249,18,2228,2076
252876,27,453,5,8,8,743,476,249,18,2223,2084
254479,28,30,8,14,15,751,478,254,19,2215,2098
254793,29,12,10,16,16,761,478,264,19,2205,2114
255830,30,91,47,48,48,808,501,288,19,2158,2162
256728,31,13,14,25,41,822,513,290,19,2144,2187
263000,32,26,15,32,48,837,517,296,24,2129,2219
264237,33,11,6,28,44,843,517,301,25,2123,2247
266982,34,30,3,63,114,846,520,301,25,2120,2310
267099,35,0,0,8,16,846,520,301,25,2120,2318
267266,36,5,1,8,8,847,520,302,25,2119,2326
267342,37,2,3,5,5,850,520,305,25,2116,2331
267342,38,4,0,0,2,850,520,305,25,2116,2331
269145,39,12,45,62,81,895,557,313,25,2071,2393
269175,40,4,2,2,5,897,559,313,25,2069,2395
269255,41,2,3,5,5,900,559,316,25,2066,2400
269971,42,3,33,38,38,933,588,319,26,2033,2438
280238,43,35,106,210,338,1039,646,367,26,1927,2648
280972,44,3,20,46,79,1059,666,367,26,1907,2694
280972,45,0,0,0,0,1059,666,367,26,1907,2694
288026,46,29,73,175,357,1132,710,396,26,1834,2869
293074,47,35,22,87,224,1154,722,404,28,1812,2956
294307,48,10,22,53,170,1176,741,407,28,1790,3009
294808,49,7,7,22,47,1183,747,408,28,1783,3031
295181,50,3,21,25,28,1204,768,408,28,1762,3056
319652,51,492,0,45,94,1204,768,408,28,1762,3101
353320,52,71,76,364,560,1280,805,442,33,1686,3465
353320,53,0,0,0,0,1280,805,442,33,1686,3465
1251230,54,2291,41,403,736,1321,835,452,34,1645,3868
1253580,55,15,4,64,103,1325,835,456,34,1641,3932
1295514,56,79,64,419,784,1389,890,465,34,1577,4351
1307880,57,55,25,171,426,1414,908,472,34,1552,4522
1312880,58,39,21,86,313,1435,920,479,36,1531,4608
1313624,59,11,2,36,38,1437,920,481,36,1529,4644
1316435,60,8,73,135,164,1510,990,484,36,1456,4779
1319422,61,32,6,62,210,1516,995,485,36,1450,4841
1321788,62,18,42,66,80,1558,1031,491,36,1408,4907
1327908,63,376,0,13,22,1558,1031,491,36,1408,4920
1328695,64,8,10,30,48,1568,1041,491,36,1398,4950
1329226,65,5,1,25,76,1569,1042,491,36,1397,4975
1333585,66,236,3,23,67,1572,1043,493,36,1394,4998
1333884,67,5,9,15,23,1581,1052,493,36,1385,5013
1334446,68,8,10,22,41,1591,1057,498,36,1375,5035
1340513,69,14,99,157,171,1690,1101,549,40,1276,5192
1341648,70,9,17,45,121,1707,1110,557,40,1259,5237
1342227,71,6,14,27,73,1721,1124,557,40,1245,5264
1342326,72,2,2,6,10,1723,1126,557,40,1243,5270
1342395,73,3,0,3,6,1723,1126,557,40,1243,5273
1342495,74,3,5,6,6,1728,1131,557,40,1238,5279
1342720,75,2,11,14,14,1739,1138,561,40,1227,5293
1343388,76,13,12,26,66,1751,1150,561,40,1215,5319
1344237,77,3,39,51,51,1790,1189,561,40,1176,5370
1344735,78,3,24,29,39,1814,1204,570,40,1152,5399
1345604,79,3,25,32,32,1839,1229,570,40,1127,5431
1346122,80,3,26,30,38,1865,1252,573,40,1101,5461
1348898,81,24,26,65,194,1891,1272,579,40,1075,5526
1349241,82,9,4,14,35,1895,1276,579,40,1071,5540
1350904,83,12,20,59,115,1915,1296,579,40,1051,5599
1350936,84,3,2,2,13,1917,1298,579,40,1049,5601
